"ID","SITE_ID","latitude","longitude","StartYr","EndYr","speciesCategory","species","Status","LEASE_TYPE","equipment","Source_of_Stock","BATHY","X010029_20130824","X010029_20140115","X010029_20140304","X010029_20140507","X010029_20140608","X010029_20140827","X010029_20140912","X010029_20140928","X010029_20141030","X010029_20150307","X010029_20150713","X010029_20150729","X010029_20150814","X010029_20150915","X010029_20151220","X011029_20160823","X011030_20130714","X011030_20130730","X011030_20130815","X011030_20131002","X011030_20131018","X011030_20140327","X011030_20140412","X011030_20140530","X011030_20140919","X011030_20150415","X011030_20150906","X011030_20151008","X011030_20151109","X011030_20151125","X011030_20160128","X011030_20160417","X011030_20160620","X011030_20160706","X011030_20160722","X011030_20160823"
135,"FAUX114",44.0457,-69.5188,2014,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Tray racks and soft mesh bags","Mook Sea Farms",-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.67,17.07,17.36,14.83,17.25,26.24,14.93,10.31,1.42,-0.76,NA,NA,NA,NA,NA
136,"FAUX214",44.04572,-69.5188,2014,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Tray racks and soft mesh bags","Mook Sea Farms",-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.67,17.07,17.36,14.83,17.25,26.24,14.93,10.31,1.42,-0.76,NA,NA,NA,NA,NA
137,"FBRO117",44.108065,-68.857266,2017,2017,"SeaVeg","Sugar Kelp (Laminaria saccharina)","A","L","marine algae gear","Ocean Approved, Portland, ME (207-409-6485)",-9.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,"FBRO217",44.107833,-68.857524,2017,2017,"SeaVeg","Sugar Kelp (Laminaria saccharina)","A","L","marine algae gear","Ocean Approved, Portland, ME (207-409-6485)",-11.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,"FBRO317",44.108791,-68.85679,2017,2017,"SeaVeg","Sugar Kelp (Laminaria saccharina)","A","L","marine algae gear","Ocean Approved, Portland, ME (207-409-6485)",-6.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"FBRO417",44.108699,-68.856769,2017,2017,"SeaVeg","Sugar Kelp (Laminaria saccharina)","A","L","marine algae gear","Ocean Approved, Portland, ME (207-409-6485)",-6.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,"GCON117",43.98213889,-69.07462778,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);Sea Scallop (Placopecten magellanicus)","A","L","lantern nets and/or pearl nets, scallop spat collector bags","sea scallops: wild (juveniles to be caught under DMR special license ME 2016-72-00), American/eastern oysters: Muscongus Bay Aquaculture or Mook Sea Farm",-5.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,"GCON217",43.98212778,-69.07457778,2017,2017,"ShellFish","Sea Scallop (Placopecten magellanicus)","A","L","lantern nets and/or pearl nets, scallop spat collector bags","wild (juveniles to be caught under DMR special license ME 2016-72-00)",-5.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,"GELA115",43.8261,-70.0109,2015,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Soft mesh bags/baskets and moorings","Muscongus Bay Aquaculture,Wild",-3.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.62,21.93,14.5,10.75,5.45,0.28,6.75,NA,18.71,22.49,20.72
144,"GER113",44.4148,-68.3663,2013,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","A","L","tray racks, cages, bags and trays","Muscongus Bay Aquaculture",-0.22,21.6,2.35,-1.47,NA,21.87,21.51,17.29,19.53,NA,-2.49,22.36,20.25,22.34,19.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,"GER213",44.41475,-68.3664,2013,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","A","L","tray racks, cages, bags and trays","Muscongus Bay Aquaculture",-0.23,21.6,2.35,-1.47,NA,21.87,21.51,17.29,19.53,NA,-2.49,22.36,20.25,22.34,19.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,"GETC115",43.85885,-69.6702,2015,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Tray Racks and soft mesh bags","Muscongus Bay Aquaculture",-4.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7,14.39,10.47,3.89,NA,NA,NA,NA,NA,NA
147,"GGOO117",43.950667,-69.69165,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks or overwintering cages, soft bags, semi rigid bags, and/or floating trays","Muscongus Bay Aquaculture",-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"GLAD215",43.98527,-69.5579,2015,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Shellfish tray racks, soft bags, and moorings.","Pemaquid Oyster",-3.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.96,23.42,14.92,10.6,4.63,0.61,8.78,17.38,NA,22.09,21.76
149,"GLAD315",43.98517,-69.5579,2015,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Shellfish tray racks, soft bags, and moorings.","Pemaquid Oyster",-3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.96,23.42,14.92,10.6,4.63,0.61,8.78,17.38,NA,22.09,21.76
150,"GOT313",43.30662,-70.5736,2013,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Oyster cages and bags","Muscongus Bay Aquaculture,Mook Sea Farms,Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,"GOT414",43.35972,-70.4352,2014,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Shellfish tray racks, soft bags, and moorings,","Muscongus Bay Aquaculture",-0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17,11.35,NA,NA,13.1,NA,NA,NA,7.32,3.99,NA,NA,NA,NA,NA
152,"GRE105",43.73217,-70.1663,2005,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);Sea Scallop (Placopecten magellanicus)","A","L","Shellfish raft, tray racks/overwintering cages, shellfish bags & trays","Mook Sea Farms",-6.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.78,22.39,17.21,16.84,14.39,1.46,12.52,12.16,15.75,8.97,21.58,14.55,10.85,7.32,2.24,NA,NA,18.98,21.46,19.41
153,"GRE310",43.73489,-70.165,2010,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);Sea Scallop (Placopecten magellanicus)","A","L","Bags & trays, tray racks/overwintering cages","Mook Sea Farms",-0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.23,26.53,20.17,17.63,14.9,2.09,16.06,13.59,15.96,14.07,23.6,15.19,11.07,6.61,1.65,NA,NA,20.05,NA,NA
154,"GRI107",43.98421,-69.5632,2007,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Floating trays; over wintering cages, & soft bags","Muscongus Bay Aquaculture,Wild",-1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.61,25.04,23.7,19.66,18.32,NA,1.19,12.95,14.12,16.05,12.44,24.07,15.11,10.93,4.78,0.43,8.48,17.56,NA,22.28,21.84
155,"GSTE116",44.00191,-69.5386,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and over wintering cages","Muscongus Bay Aquaculture,Mook Sea Farms",-2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41,8.69,18.41,NA,22.54,22.44
156,"GSTE216",44.00137,-69.5387,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and over wintering cages","Muscongus Bay Aquaculture,Mook Sea Farms",-3.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41,8.71,18.38,NA,22.55,22.48
157,"GSTE316",44.00108,-69.5387,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and over wintering cages","Muscongus Bay Aquaculture,Mook Sea Farms",-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42,8.77,18.39,NA,22.44,22.44
158,"GSTE416",44.0007,-69.5389,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and over wintering cages","Muscongus Bay Aquaculture,Mook Sea Farms",-3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,8.8,18.43,NA,22.44,22.38
159,"HAM311",44.03838,-69.1192,2011,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Bags, trays, tray racks, overwintering cages","Muscongus Bay Aquaculture",-1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,9.73,NA,NA,NA,NA,13.66,NA,5.86,NA,NA,NA,NA,NA,NA
160,"HAM413",44.05442,-69.1271,2013,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Upweller","Muscongus Bay Aquaculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.87,25.61,19.45,18.59,14.36,-0.05,15.79,14.9,15,NA,23.43,14.41,10.25,4.1,NA,NA,NA,NA,22.26,NA
161,"HAMI115",43.87698,-69.8963,2015,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Soft mesh bags, tray racks, and moorings","Muscongus Bay Aquaculture, Mook Sea Farms, Mark Green (Basket Island Oysters)",-0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.24,23.62,14.55,10.57,4.57,-0.23,7.4,NA,NA,22.61,21.72
162,"HAMI217",43.87697778,-69.89611667,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and overwintering cages, soft bags, semirigid bags, and/or floating trays","Muscongus Bay Aquaculture",-1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,"HHAR116",43.83294,-70.0103,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis);Hard Clam/Quahog (Mercenaria mercenaria)","A","L","soft bags, semi rigid bags, and/or floating trays","Muscongus Bay Aquaculture,Wild",-0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,"HIG112",43.84832,-69.6321,2012,2017,"SeaVeg","Sugar Kelp (Laminaria saccharina)","A","L","Rope grid, 10 x 40","GMRI Nursery",-3.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.71,24.49,21.02,18.26,15.52,2.95,14,14.77,16.27,16.5,23.12,15.92,11.24,7.39,4.05,7.81,18.66,NA,22.14,NA
165,"HIG212",43.85793,-69.6023,2012,2017,"SeaVeg","Sugar Kelp (Laminaria saccharina)","A","L","Rope grid, 10 x 40","GMRI Nursery",-3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.32,26.17,23.48,19.64,17.14,15.16,1.97,12.04,13.34,14.84,13.51,22.16,14.96,10.94,6.88,3.97,7.59,17.65,NA,21.83,20.53
166,"HOR207",43.81963,-70.1067,2007,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Overwintering cages (ADPI bags) & soft bags, hanging from marina slips","Muscongus Bay Aquaculture",-1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,"HOR509",43.82147,-70.1052,2009,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Upweller","Muscongus Bay Aquaculture",-0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,NA,NA,NA,NA,NA,NA,10.26,2.46,-0.31,NA,NA,NA,NA,NA
168,"HOW315",43.10361,-70.771,2015,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Shellfish tray racks and over wintering cages, soft mesh bags, and moorings","Muscongus Bay Aquaculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,"HOW415",43.10356,-70.7711,2015,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Shellfish tray racks and over wintering cages, soft mesh bags, and moorings","Muscongus Bay Aquaculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,"HOW515",43.1035,-70.7711,2015,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Shellfish tray racks and over wintering cages, soft mesh bags, and moorings","Muscongus Bay Aquaculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,"HOW615",43.10345,-70.7712,2015,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Shellfish tray racks and over wintering cages, soft mesh bags, and moorings","Muscongus Bay Aquaculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,"HUNT115",43.81766,-69.9105,2015,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Soft mesh bags","Muscongus Bay Aquaculture",-3.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.14,23.79,14.25,9.85,3.99,0.88,7.54,NA,NA,NA,NA
173,"HUNT215",43.81619,-69.9079,2015,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Soft mesh bags","Muscongus Bay Aquaculture",-1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.87,24.2,14.73,10.16,4.41,1.66,7.57,NA,NA,23.2,22.61
174,"HUNT316",43.81662,-69.9081,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and over wintering cages, soft bags, semi rigid bags, and/or floating trays","Muscongus Bay Aquaculture",-1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,"HUNT416",43.81604,-69.9081,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and over wintering cages, soft bags, semi rigid bags, and/or floating trays","Muscongus Bay Aquaculture",-0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,"JAM309",43.94739,-69.7111,2009,2017,"ShellFish","Hard Clam/Quahog (Mercenaria mercenaria);Soft-shelled Clam (Mya arenaria)","A","L","Upweller","Downeast Institute",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.21,32.89,29.67,23.19,19.14,14.98,-0.48,16.62,15.78,14.42,16.82,25.69,14.39,9.86,1.9,-0.25,NA,NA,NA,NA,NA
177,"JAUG117",44.00428333,-69.54556667,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","soft bags, semi rigid bags, and/or floating trays","Mook Sea Farm",-0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,"JBAL117",44.001755,-69.16604,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and overwintering cages, soft bags, semi rigid bags, and/or floating trays","Muscongus Bay Aquaculture",-0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,"JBAL217",44.001855,-69.16604,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and overwintering cages, soft bags, semi rigid bags, and/or floating trays","Muscongus Bay Aquaculture",-0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,"JBAL317",44.001855,-69.165935,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and overwintering cages, soft bags, semi rigid bags, and/or floating trays","Muscongus Bay Aquaculture",-0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,"JBAL417",44.001755,-69.165935,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and overwintering cages, soft bags, semi rigid bags, and/or floating trays","Muscongus Bay Aquaculture",-0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,"JBEL117",43.80384167,-69.852617,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis)","A","L","soft bags, semi rigid bags, and/or floating trays and oyster tiles (via special license #----)","American Oysters (Muscongus Bay Aquaculture and Wild), Blue Mussels (Wild Ocean Aquaculture)",-2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,"JBRE117",43.839526,-69.675612,2017,2017,"SeaVeg","Sugar Kelp (Laminaria saccharina)","A","L","marine algae","Ocean Approved, Saco, ME",-7.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,"JBRE217",43.839909,-69.674185,2017,2017,"SeaVeg","Sugar Kelp (Laminaria saccharina)","A","L","marine algae","Ocean Approved, Saco, ME",-7.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,"JBRE317",43.851687,-69.684984,2017,2017,"SeaVeg","Sugar Kelp (Laminaria saccharina)","A","L","marine algae","Ocean Approved, Saco, ME",-9.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,"JBRE417",43.85059,-69.685008,2017,2017,"SeaVeg","Sugar Kelp (Laminaria saccharina)","A","L","marine algae","Ocean Approved, Saco, ME",-9.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,"JCOT117",43.940233,-69.269278,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and overwintering cages, soft bags, semi rigid bags, and/or floating trays","Muscongus Bay Aquaculture Inc, PO Box 204 Bremen, ME 04551",-6.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"JDEV117",43.851995,-69.963071,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","A","L","fencing and brushing, and bottom anti-predator netting","Hard clam/quahog: Downeast Institute and American/eastern oyster: Muscongus Bay Aquaculture",-0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,"JDEV217",43.8518,-69.96336,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","A","L","fencing and brushing, and bottom anti-predator netting","Hard clam/quahog: Downeast Institute and American/eastern oyster: Muscongus Bay Aquaculture",-0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,"JDEV317",43.820608,-70.017627,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis);Hard Clam/Quahog (Mercenaria mercenaria)","A","L","shellfish trayracks, overwintering cages, soft bags, semi rigid bags, and/or floating trays","Hard clam/quahog: Downeast Institute and American/eastern oyster: Muscongus Bay Aquaculture",-4.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,"JDEV417",43.819438,-70.017887,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis);Hard Clam/Quahog (Mercenaria mercenaria)","A","L","shellfish trayracks, overwintering cages, soft bags, semi rigid bags, and/or floating trays","Hard clam/quahog: Downeast Institute and American/eastern oyster: Muscongus Bay Aquaculture",-3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,"JFOG516",44.43737,-68.3394,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and over wintering cages; soft bags, semi rigid bags, and/or floating trays","Muscongus Bay Aquaculture",-1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,"JGRA116",44.24615,-68.25373,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);European Oyster (Ostrea edulis)","A","L","shellfish tray racks, overwintering cages, soft bags, semi rigid bags, floating trays","Muscongus Bay Aquaculture, Bremen ME (207-529-4100)",-0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,"JGRA216",44.24933,-68.25398,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);European Oyster (Ostrea edulis)","A","L","shellfish tray racks, overwintering cages, soft bags, semi rigid bags, floating trays","Muscongus Bay Aquaculture, Bremen ME (207-529-4100)",-0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
